ID,챕터,특성 ID,몹이름,공격력,방어력,체력,공격속도,방어속도,치명타,치명공격력,보상_경험치,보상 아이템,몬스터_대기,몬스터_공격,전투파티클_공격,전투파티클_피격,몬스터_그림자,몹 이름 ID,몹 설명 ID
126,1,0,수렁 고블린 창병,70.0,21.0,459.0,1.01,0.1,99.0,200.0,160.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10126,20126
127,1,0,수렁 해골 전사,75.0,22.0,486.0,1.03,0.1,99.0,200.0,174.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10127,20127
128,1,0,수렁 고블린 방패병,77.0,24.0,560.0,1.05,0.1,99.0,200.0,190.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10128,20128
129,1,0,수렁 슬라임,82.0,25.0,590.0,1.07,0.1,99.0,200.0,207.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10129,20129
130,1,0,수렁 슬라임,86.0,26.0,620.0,1.09,0.1,99.0,200.0,226.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10130,20130
131,1,0,수렁 크로우,91.0,27.0,650.0,1.11,0.1,99.0,200.0,246.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10131,20131
132,1,0,수렁 정령,95.0,28.0,680.0,1.13,0.1,99.0,200.0,268.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10132,20132
133,1,0,수렁 늑대,100.0,30.0,700.0,1.15,0.1,99.0,200.0,292.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10133,20133
134,1,0,수렁 고블린 창병,103.0,31.0,803.0,1.17,0.1,99.0,200.0,318.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10134,20134
135,1,0,수렁 해골 전사,107.0,32.0,836.0,1.19,0.1,99.0,200.0,347.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10135,20135
136,1,0,수렁 고블린 방패병,112.0,33.0,880.0,1.22,0.1,99.0,200.0,378.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10136,20136
137,1,0,수렁 슬라임,117.0,35.0,913.0,1.24,0.1,99.0,200.0,411.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10137,20137
138,1,0,수렁 슬라임,122.0,36.0,957.0,1.26,0.1,99.0,200.0,448.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10138,20138
139,1,0,수렁 크로우,128.0,38.0,990.0,1.28,0.1,99.0,200.0,489.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10139,20139
140,1,0,수렁 정령,132.0,39.0,1128.0,1.3,0.1,99.0,200.0,532.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10140,20140
301,1,0,무너진 수로의 둔기 슬라임,140.0,39.0,2337.0,1.1,0.15,20.0,200.0,1597.0,-1,Boss_C0_I001,Boss_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10301,20301
141,2,0,잿불 슬라임,145.0,41.0,776.0,0.9,0.1,99.0,200.0,580.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10141,20141
142,2,0,잿불 슬라임,151.0,42.0,909.0,0.92,0.1,99.0,200.0,632.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10142,20142
143,2,0,잿불 크로우,153.0,44.0,936.0,0.94,0.1,99.0,200.0,689.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10143,20143
144,2,0,잿불 정령,158.0,45.0,972.0,0.96,0.1,99.0,200.0,751.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10144,20144
145,2,0,잿불 늑대,164.0,47.0,999.0,0.98,0.1,99.0,200.0,819.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10145,20145
146,2,0,잿불 고블린 창병,170.0,48.0,1035.0,1.01,0.1,99.0,200.0,892.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10146,20146
147,2,0,잿불 해골 전사,176.0,50.0,1062.0,1.03,0.1,99.0,200.0,973.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10147,20147
148,2,0,잿불 고블린 방패병,178.0,51.0,1220.0,1.05,0.1,99.0,200.0,1060.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10148,20148
149,2,0,잿불 슬라임,183.0,53.0,1250.0,1.07,0.1,99.0,200.0,1155.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10149,20149
150,2,0,잿불 슬라임,189.0,54.0,1290.0,1.09,0.1,99.0,200.0,1259.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10150,20150
151,2,0,잿불 크로우,195.0,56.0,1320.0,1.11,0.1,99.0,200.0,1372.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10151,20151
152,2,0,잿불 정령,200.0,57.0,1360.0,1.13,0.1,99.0,200.0,1496.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10152,20152
153,2,0,잿불 늑대,206.0,59.0,1390.0,1.15,0.1,99.0,200.0,1630.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10153,20153
154,2,0,잿불 고블린 창병,209.0,60.0,1573.0,1.17,0.1,99.0,200.0,1777.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10154,20154
155,2,0,잿불 해골 전사,214.0,62.0,1606.0,1.19,0.1,99.0,200.0,1937.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10155,20155
156,2,0,잿불 고블린 방패병,220.0,63.0,1650.0,1.22,0.1,99.0,200.0,2111.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10156,20156
157,2,0,잿불 슬라임,223.0,65.0,1683.0,1.24,0.1,99.0,200.0,2301.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10157,20157
158,2,0,잿불 슬라임,229.0,66.0,1727.0,1.26,0.1,99.0,200.0,2508.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10158,20158
159,2,0,잿불 크로우,234.0,68.0,1760.0,1.28,0.1,99.0,200.0,2733.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10159,20159
160,2,0,잿불 정령,238.0,69.0,1968.0,1.3,0.1,99.0,200.0,2979.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10160,20160
302,2,0,잿빛 용광로의 단검 슬라임,252.0,69.0,4123.0,1.1,0.15,20.0,200.0,8938.0,-1,Boss_C0_I002,Boss_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10302,20302
161,3,0,서리 슬라임,257.0,71.0,1336.0,0.9,0.1,99.0,200.0,3247.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10161,20161
162,3,0,서리 슬라임,263.0,72.0,1539.0,0.92,0.1,99.0,200.0,3540.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10162,20162
163,3,0,서리 크로우,262.0,74.0,1566.0,0.94,0.1,99.0,200.0,3858.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10163,20163
164,3,0,서리 정령,268.0,75.0,1602.0,0.96,0.1,99.0,200.0,4205.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10164,20164
165,3,0,서리 늑대,273.0,77.0,1629.0,0.98,0.1,99.0,200.0,4584.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10165,20165
166,3,0,서리 고블린 창병,279.0,78.0,1665.0,1.01,0.1,99.0,200.0,4996.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10166,20166
167,3,0,서리 해골 전사,285.0,80.0,1692.0,1.03,0.1,99.0,200.0,5446.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10167,20167
168,3,0,서리 고블린 방패병,286.0,81.0,1920.0,1.05,0.1,99.0,200.0,5936.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10168,20168
169,3,0,서리 슬라임,291.0,83.0,1950.0,1.07,0.1,99.0,200.0,6470.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10169,20169
170,3,0,서리 슬라임,297.0,84.0,1990.0,1.09,0.1,99.0,200.0,7052.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10170,20170
171,3,0,서리 크로우,303.0,86.0,2020.0,1.11,0.1,99.0,200.0,7687.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10171,20171
172,3,0,서리 정령,309.0,87.0,2060.0,1.13,0.1,99.0,200.0,8378.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10172,20172
173,3,0,서리 늑대,315.0,89.0,2090.0,1.15,0.1,99.0,200.0,9132.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10173,20173
174,3,0,서리 고블린 창병,316.0,90.0,2343.0,1.17,0.1,99.0,200.0,9954.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10174,20174
175,3,0,서리 해골 전사,322.0,92.0,2376.0,1.19,0.1,99.0,200.0,10850.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10175,20175
176,3,0,서리 고블린 방패병,327.0,93.0,2420.0,1.22,0.1,99.0,200.0,11826.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10176,20176
177,3,0,서리 슬라임,330.0,95.0,2453.0,1.24,0.1,99.0,200.0,12890.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10177,20177
178,3,0,서리 슬라임,335.0,96.0,2497.0,1.26,0.1,99.0,200.0,14050.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10178,20178
179,3,0,서리 크로우,341.0,98.0,2530.0,1.28,0.1,99.0,200.0,15315.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10179,20179
180,3,0,서리 정령,344.0,99.0,2808.0,1.3,0.1,99.0,200.0,16693.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10180,20180
303,3,0,얼어붙은 심층의 방패 슬라임,363.0,99.0,5950.0,1.1,0.15,20.0,200.0,50079.0,-1,Boss_C0_I003,Boss_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10303,20303
181,4,0,심연 슬라임,369.0,101.0,1896.0,0.9,0.1,99.0,200.0,18195.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10181,20181
182,4,0,심연 슬라임,375.0,102.0,2169.0,0.92,0.1,99.0,200.0,19833.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10182,20182
183,4,0,심연 크로우,371.0,104.0,2196.0,0.94,0.1,99.0,200.0,21617.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10183,20183
184,4,0,심연 정령,377.0,105.0,2232.0,0.96,0.1,99.0,200.0,23563.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10184,20184
185,4,0,심연 늑대,383.0,107.0,2259.0,0.98,0.1,99.0,200.0,25683.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10185,20185
186,4,0,심연 고블린 창병,389.0,108.0,2295.0,1.01,0.1,99.0,200.0,27995.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10186,20186
187,4,0,심연 해골 전사,395.0,110.0,2322.0,1.03,0.1,99.0,200.0,30514.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10187,20187
188,4,0,심연 고블린 방패병,394.0,111.0,2620.0,1.05,0.1,99.0,200.0,33260.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10188,20188
189,4,0,심연 슬라임,399.0,113.0,2650.0,1.07,0.1,99.0,200.0,36254.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10189,20189
190,4,0,심연 슬라임,405.0,114.0,2690.0,1.09,0.1,99.0,200.0,39517.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10190,20190
191,4,0,심연 크로우,411.0,116.0,2720.0,1.11,0.1,99.0,200.0,43073.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10191,20191
192,4,0,심연 정령,417.0,117.0,2760.0,1.13,0.1,99.0,200.0,46949.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10192,20192
193,4,0,심연 늑대,423.0,119.0,2790.0,1.15,0.1,99.0,200.0,51175.0,-1,Mob_C0_I004,Mob_C0_A004,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10193,20193
194,4,0,심연 고블린 창병,423.0,120.0,3113.0,1.17,0.1,99.0,200.0,55780.0,-1,Mob_C0_I005,Mob_C0_A005,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10194,20194
195,4,0,심연 해골 전사,429.0,122.0,3146.0,1.19,0.1,99.0,200.0,60800.0,-1,Mob_C0_I006,Mob_C0_A006,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10195,20195
196,4,0,심연 고블린 방패병,435.0,123.0,3190.0,1.22,0.1,99.0,200.0,66272.0,-1,Mob_C0_I007,Mob_C0_A007,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10196,20196
197,4,0,심연 슬라임,436.0,125.0,3223.0,1.24,0.1,99.0,200.0,72237.0,-1,Mob_C0_I000,Mob_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10197,20197
198,4,0,심연 슬라임,442.0,126.0,3267.0,1.26,0.1,99.0,200.0,78738.0,-1,Mob_C0_I001,Mob_C0_A001,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10198,20198
199,4,0,심연 크로우,448.0,128.0,3300.0,1.28,0.1,99.0,200.0,85824.0,-1,Mob_C0_I002,Mob_C0_A002,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10199,20199
200,4,0,심연 정령,450.0,129.0,3648.0,1.3,0.1,99.0,200.0,93548.0,-1,Mob_C0_I003,Mob_C0_A003,FX_WeaponSlash_00,FX_WeaponHit_14,Mob_Shadow_000,10200,20200
304,4,0,왕좌의 균열의 킹 슬라임,475.0,129.0,7838.0,1.1,0.15,20.0,200.0,280644.0,-1,Boss_C0_I000,Boss_C0_A000,FX_WeaponSlash_00,FX_WeaponHit_18,Mob_Shadow_000,10304,20304
