Lv,NeedEXP,TotalExp,공격력,방어력,체력,공격속도,방어속도,치명타,치명공격력,이동속도
49,3756,44946,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
50,4094,49040,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
51,4462,53502,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
52,4863,58365,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
53,5300,63665,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
54,5777,69442,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
55,6296,75738,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
56,6862,82600,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
57,7479,90079,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
58,8152,98231,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
59,8885,107116,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
60,9684,116800,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
61,10555,127355,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
62,11504,138859,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
63,12539,151398,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
64,13667,165065,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
65,14897,179962,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
66,16237,196199,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
67,17698,213897,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
68,19290,233187,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
69,21026,254213,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
70,22918,277131,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
71,24980,302111,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
72,27228,329339,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
73,29678,359017,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
74,32349,391366,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
75,35260,426626,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
76,38433,465059,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
77,41891,506950,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
78,45661,552611,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
79,49770,602381,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
80,54249,656630,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
81,59131,715761,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
82,64452,780213,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
83,70252,850465,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
84,76574,927039,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
85,83465,1010504,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
86,90976,1101480,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
87,99163,1200643,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
88,108087,1308730,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
89,117814,1426544,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
90,128417,1554961,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
91,139974,1694935,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
92,152571,1847506,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
93,166302,2013808,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
94,181269,2195077,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
95,197583,2392660,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
96,215365,2608025,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
97,234747,2842772,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
98,255874,3098646,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
99,278902,3377548,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
100,304002,3681550,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
101,331361,4012911,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
102,361183,4374094,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
103,393689,4767783,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
104,429120,5196903,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
105,467740,5664643,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
106,509835,6174478,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
107,555719,6730197,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
108,605732,7335929,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
109,660246,7996175,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
110,719666,8715841,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
111,784434,9500275,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
112,855031,10355306,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
113,931982,11287288,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
114,1015858,12303146,5.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0
115,1107283,13410429,5.0,5.0,25.0,0.0,0.0,0.0,5.0,0.0
