ID,Dungeon_ID,Type,Up_Stairs,Down_Stairs,Boss_Room,ATK_보정 (n),DEF_보정 (n),EXP_보정 (%),BGM,던전 이름_ID
45,02_005,Common,02_006,02_004,-,1,1,100,BGM_001,5146
46,02_006,Common,02_007,02_005,-,1,1,100,BGM_001,5147
47,02_007,Common,02_008,02_006,-,1,1,100,BGM_001,5148
48,02_008,Common,02_009,02_007,-,1,1,100,BGM_001,5149
49,02_009,Common,02_010,02_008,-,1,1,100,BGM_001,5150
50,02_010,Common,02_011,02_009,-,1,1,100,BGM_001,5151
51,02_011,Common,02_012,02_010,-,1,1,100,BGM_001,5152
52,02_012,Common,02_013,02_011,-,1,1,100,BGM_001,5153
53,02_013,Common,02_014,02_012,-,1,1,100,BGM_001,5154
54,02_014,Common,02_015,02_013,-,1,1,100,BGM_001,5155
55,02_015,Common,02_016,02_014,-,1,1,100,BGM_001,5156
56,02_016,Common,02_017,02_015,-,1,1,100,BGM_001,5157
57,02_017,Common,02_018,02_016,-,1,1,100,BGM_001,5158
58,02_018,Common,02_019,02_017,-,1,1,100,BGM_001,5159
59,02_019,Boss,03_000,02_018,-,1,1,100,BGM_001,5160
60,03_000,Common,03_001,02_019,-,1,1,100,BGM_101,5161
61,03_001,Common,03_002,03_000,-,1,1,100,BGM_101,5162
62,03_002,Common,03_003,03_001,-,1,1,100,BGM_101,5163
63,03_003,Common,03_004,03_002,-,1,1,100,BGM_101,5164
64,03_004,Common,03_005,03_003,-,1,1,100,BGM_101,5165
65,03_005,Common,03_006,03_004,-,1,1,100,BGM_101,5166
66,03_006,Common,03_007,03_005,-,1,1,100,BGM_101,5167
67,03_007,Common,03_008,03_006,-,1,1,100,BGM_101,5168
68,03_008,Common,03_009,03_007,-,1,1,100,BGM_101,5169
69,03_009,Common,03_010,03_008,-,1,1,100,BGM_101,5170
70,03_010,Common,03_011,03_009,-,1,1,100,BGM_101,5171
71,03_011,Common,03_012,03_010,-,1,1,100,BGM_101,5172
72,03_012,Common,03_013,03_011,-,1,1,100,BGM_101,5173
73,03_013,Common,03_014,03_012,-,1,1,100,BGM_101,5174
74,03_014,Common,03_015,03_013,-,1,1,100,BGM_101,5175
75,03_015,Common,03_016,03_014,-,1,1,100,BGM_101,5176
76,03_016,Common,03_017,03_015,-,1,1,100,BGM_101,5177
77,03_017,Common,03_018,03_016,-,1,1,100,BGM_101,5178
78,03_018,Common,03_019,03_017,-,1,1,100,BGM_101,5179
79,03_019,Boss,04_000,03_018,-,1,1,100,BGM_101,5180
80,04_000,Common,04_001,03_019,-,1,1,100,BGM_102,5181
81,04_001,Common,04_002,04_000,-,1,1,100,BGM_102,5182
82,04_002,Common,04_003,04_001,-,1,1,100,BGM_102,5183
83,04_003,Common,04_004,04_002,-,1,1,100,BGM_102,5184
84,04_004,Common,04_005,04_003,-,1,1,100,BGM_102,5185
85,04_005,Common,04_006,04_004,-,1,1,100,BGM_102,5186
86,04_006,Common,04_007,04_005,-,1,1,100,BGM_102,5187
87,04_007,Common,04_008,04_006,-,1,1,100,BGM_102,5188
88,04_008,Common,04_009,04_007,-,1,1,100,BGM_102,5189
89,04_009,Common,04_010,04_008,-,1,1,100,BGM_102,5190
90,04_010,Common,04_011,04_009,-,1,1,100,BGM_102,5191
91,04_011,Common,04_012,04_010,-,1,1,100,BGM_102,5192
92,04_012,Common,04_013,04_011,-,1,1,100,BGM_102,5193
93,04_013,Common,04_014,04_012,-,1,1,100,BGM_102,5194
94,04_014,Common,04_015,04_013,-,1,1,100,BGM_102,5195
95,04_015,Common,04_016,04_014,-,1,1,100,BGM_102,5196
96,04_016,Common,04_017,04_015,-,1,1,100,BGM_102,5197
97,04_017,Common,04_018,04_016,-,1,1,100,BGM_102,5198
98,04_018,Common,04_019,04_017,-,1,1,100,BGM_102,5199
99,04_019,Boss,-,04_018,-,1,1,100,BGM_102,5200
